Card Identifiers,,,,,Pre-requisites (Global Parameters),,,,,,,,.,Pre-requisites (Non-Global Parameters),,,,,,,,,,,,,Tags,,,,,,,,,,,,.,Production,,,,,,,Resource,,,,,,,,Terraforming Effect,,,,,,,Interactions,,,,,,Text,,,
Card Name,Card #,Cost,Card Type,Deck,Req: Temperature,Req: Oxygen,Req: Ocean,Req: Venus,Req: Max Temperature,Req: Max Oxygen,Req: Max Ocean,Req: Max Venus,Pre-requisites (Global),Req: Science,Req: Building,Req: Space,Req: Microbe,Req: Plant,Req: Animal,Req: City,Req: Earth,Req: Jovian,Req: Energy,Req: Venus,Req: Other,Pre-requisites (Non-Global),Tag: Science,Tag: Building,Tag: Space,Tag: Microbe,Tag: Plant,Tag: Animal,Tag: City,Tag: Earth,Tag: Jovian,Tag: Energy,Tag: Venus,Tag: Event,Tags,Prod: Megacredit,Prod: Steel,Prod: Titanium,Prod: Plant,Prod: Energy,Prod: Heat,Production,Inv: Megacredit,Inv: Steel,Inv: Titanium,Inv: Plant,Inv: Energy,Inv: Heat,Other (Resources on Cards),Resource,Temperature,Oxygen,Ocean,Venus,TR,VP,Terraforming Effect,Tile/Colony Placement,# Actions and/or Effect,Depends on opponents,Affects opponents,Holds Resources,Interactions,Action or On-going Effect text,One time Effect Text,Text,
Air Raid,C02,0,Event,Colonies,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,,Ref,0,0,0,0,0,Ref,,0,0,0,0,0,0,,No,0,Ref,Ref,No,,,Requires that you lose 1 floater. Steal 5 MC from any player.,,
Air-Scrapping Expedition,215,13,Event,Venus,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,Floaters,,0,0,0,1,0,0,,No,0,No,No,No,,,Raise Venus 1 step. Add 3 floaters to ANY VENUS CARD.,,
Airliners,C01,11,Automated,Colonies,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,Ref,,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,0,,0,0,0,0,0,0,Floaters,,0,0,0,0,0,1,,No,0,No,No,No,,,Requires that you have 3 floaters. Increase your MC production 2 steps. Add 2 floaters to ANOTHER card.,,
Algae,47,10,Automated,Basic,-30,0,5,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,2,0,0,,0,0,0,1,0,0,No,,0,0,0,0,0,0,,No,0,No,No,No,,,Requires 5 ocean tiles. Gain 1 plant and increase your plant production 2 steps.,,
Allied Bank,P01,,Prelude,Prelude,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,0,0,0,1,0,0,0,0,,4,0,0,0,0,0,,3,0,0,0,0,0,No,,0,0,0,0,0,0,,No,0,No,No,No,,,Increase your MC production 4 steps. Gain 3 MC.,,
Anti-Gravity Technology,150,14,Active,Corporate,-30,0,0,0,8,14,9,30,,7,0,0,0,0,0,0,0,0,0,0,No,,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,No,,0,0,0,0,0,3,,No,Eff,No,No,No,,"Effect: when you play a card, you pay 2 MC less for it.",Requires 7 science tags.,,
Ants,35,9,Active,Basic,-30,4,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,Ref,,0,0,0,0,0,Ref,,No,1,No,Ref,Microbes,,Action: Remove 1 microbe from any card to add 1 to this card.,Requires 4% oxygen. 1 VP per 2 microbes on this card.,,
Aphrodite,,,Corporation,Venus,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,1,0,0,0,0,0,1,0,,0,0,0,1,0,0,,47,0,0,0,0,0,No,,0,0,0,0,0,0,,No,Eff,No,No,No,,"Effect: Whenever Venus is terraformed 1 step, you gain 2 MC.",You start with 47 MC and 1 plant production.,,
Aquifer Pumping,187,18,Active,Basic,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,Ref,Ref,0,0,0,0,No,,0,0,Ref,0,0,0,,Ref,1,No,No,No,,Action: Spend 8 MC to place 1 ocean tile. STEEL MAY BE USED as if you were playing a building card.,,,
Aquifer Turbines,P02,,Prelude,Prelude,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,2,0,,-3,0,0,0,0,0,No,,0,0,1,0,0,0,,No,0,No,No,No,,,Place an ocean tile. Increase your energy production 2 steps. Remove 3 MC.,,
Archaebacteria,42,6,Automated,Basic,-30,0,0,0,-18,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,,0,0,0,0,0,0,No,,0,0,0,0,0,0,,No,0,No,No,No,,,It must be -18°C or colder. Increase your plant production 1 step.,,
Arctic Algae,23,12,Active,Basic,-30,0,0,0,-12,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,Ref,0,0,No,,0,0,0,0,0,0,,No,Eff,Ref,No,No,,"Effect: When anyone places an ocean tile, gain 2 plants.",It must be -12°C or colder to play. Gain 1 plant.,,
Aridor,,,Corporation,Colonies,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,0,0,0,0,0,0,0,0,,Ref,0,0,0,0,0,,40,0,0,0,0,0,No,,0,0,0,0,0,0,,No,Eff,No,No,No,,"Effect: When you get a new type of tag in play (event cards do not count), increase your MC production 1 step.","You start with 40 MC. As your first action, put an additional Colony Tile of your choice into play.",,
Arklight,,,Corporation,Colonies,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,0,1,0,0,0,0,0,0,,2,0,0,0,0,0,,45,0,0,0,0,0,Ref,,0,0,0,0,0,Ref,,No,Eff,No,No,Animals,,"Effect: When you play an animal or plant tag, including this, add 1 animal to this card.",You start with 45 MC. Increase your MC production 2 steps. 1 VP per 2 animals on this card.,,
Artificial Lake,116,15,Automated,Basic,-6,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,No,,0,0,1,0,0,1,,Ref,0,No,No,No,,,Requires -6°C or warmer. Place 1 ocean tile ON AN AREA NOT RESERVED FOR OCEAN.,,
Artificial Photosynthesis,115,12,Automated,Basic,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,Ref,Ref,0,,0,0,0,0,0,0,No,,0,0,0,0,0,0,,No,0,No,No,No,,,Increase your plant production 1 step or your energy production 2 steps.,,
Asteroid,9,14,Event,Basic,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,1,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,,0,0,2,Ref,0,0,No,,1,0,0,0,0,0,,No,0,No,Ref,No,,,Raise temperature 1 step and gain 2 titanium. Remove up to 3 plants from any player.,,
Asteroid Mining,40,30,Automated,Basic,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,1,0,0,0,0,0,1,0,0,0,,0,0,2,0,0,0,,0,0,0,0,0,0,No,,0,0,0,0,0,2,,No,0,No,No,No,,,Increase your titanium production 2 steps.,,
Asteroid Mining Consortium,2,13,Automated,Corporate,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,Ref,,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,,0,0,Ref,0,0,0,No,,0,0,0,0,0,1,,No,0,No,Ref,No,,,Requires that you have titanium production. Decrease any titanium production 1 step and increase your own 1 step.,,
Atalanta Planitia Lab,216,10,Automated,Venus,-30,0,0,0,8,14,9,30,,3,0,0,0,0,0,0,0,0,0,0,No,,1,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,,0,0,0,0,0,0,No,,0,0,0,0,0,2,,No,0,No,No,No,,,Requires 3 science tags. Draw 2 cards.,,
Atmo Collectors,C03,15,Active,Colonies,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,Ref,0,Ref,Ref,Ref,,0,0,0,0,0,0,,No,2,No,No,Floaters,,"Action: Add 1 floater to this card, or spend 1 floater here to gain 2 titanium, or 3 energy, or 4 heat.",Add 2 floaters to ANY card.,,
Atmoscoop,217,22,Automated,Venus,-30,0,0,0,8,14,9,30,,3,0,0,0,0,0,0,0,0,0,0,No,,0,0,1,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,Floaters,,Ref,0,0,Ref,0,1,,No,0,No,No,No,,,"Requires 3 science tags. Either raise the temperature 2 steps, or raise Venus 2 steps. Add 2 floaters to ANY card.",,
Beam From a Thorium Asteroid,58,32,Automated,Basic,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,1,0,0,No,,0,0,1,0,0,0,0,0,1,1,0,0,,0,0,0,0,3,3,,0,0,0,0,0,0,No,,0,0,0,0,0,1,,No,0,No,No,No,,,Requires a Jovian tag. Increase your heat production and energy production 3 steps each.,,
Big Asteroid,11,27,Event,Basic,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,1,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,,0,0,4,Ref,0,0,No,,2,0,0,0,0,0,,No,0,No,Ref,No,,,Raise temperature 2 steps and gain 4 titanium. Remove up to 4 plants from any player.,,
Biofuels,P03,,Prelude,Prelude,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,1,1,0,,0,0,0,2,0,0,No,,0,0,0,0,0,0,,No,0,No,No,No,,,Increase your plant production and energy production 1 step each. Gain 2 plants.,,
Biolabs,P04,,Prelude,Prelude,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,,0,0,0,0,0,0,No,,0,0,0,0,0,0,,No,0,No,No,No,,,Increase your plant production 1 step. Draw 3 cards.,,
Biomass Combustors,183,4,Automated,Basic,-30,6,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,1,0,0,0,0,0,0,0,1,0,0,,0,0,0,Ref,2,0,,0,0,0,0,0,0,No,,0,0,0,0,0,-1,,No,0,No,Ref,No,,,Requires 6% oxygen. Decrease any plant production 1 step and increase your energy production 2 steps.,,
Biosphere Support,P05,,Prelude,Prelude,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,1,0,0,0,0,0,0,0,,-1,0,0,2,0,0,,0,0,0,0,0,0,No,,0,0,0,0,0,0,,No,0,No,No,No,,,Decrease your MC production 1 step. Increase your plant production 2 steps.,,
Birds,72,10,Active,Basic,-30,13,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,Ref,0,0,,0,0,0,0,0,0,Ref,,0,0,0,0,0,Ref,,No,1,No,Ref,Animals,,Action: Add an animal to this card.,Requires 13% oxygen. Decrease any plant production 2 steps. 1 VP for each animal on this card,,
Black Polar Dust,22,15,Automated,Basic,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,0,0,0,0,0,0,0,0,,-2,0,0,0,0,3,,0,0,0,0,0,0,No,,0,0,1,0,0,0,,Ref,0,No,No,No,,,Place an ocean tile. Decrease your MC production 2 steps and increase your heat production 3 steps.,,
Breathing Filters,114,11,Automated,Basic,-30,7,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,No,,0,0,0,0,0,2,,No,0,No,No,No,,,Requires 7% oxygen.,,
Bribed Committee,112,7,Event,Corporate,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,0,0,0,1,0,0,0,1,,0,0,0,0,0,0,,0,0,0,0,0,0,No,,0,0,0,0,2,-2,,No,0,No,No,No,,,Raise your terraform rating 2 steps.,,
Building Industries,65,6,Automated,Corporate,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,1,0,0,0,0,0,0,0,0,0,0,,0,2,0,0,-1,0,,0,0,0,0,0,0,No,,0,0,0,0,0,0,,No,0,No,No,No,,,Decrease your energy production 1 step and increase your steel production 2 steps.,,
Bushes,93,10,Automated,Basic,-10,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,2,0,0,,0,0,0,2,0,0,No,,0,0,0,0,0,0,,No,0,No,No,No,,,Requires -10°C or warmer. Increase your plant production 2 steps. Gain 2 plants.,,
Business Contacts,111,7,Event,Corporate,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,0,0,0,1,0,0,0,1,,0,0,0,0,0,0,,0,0,0,0,0,0,No,,0,0,0,0,0,0,,No,0,No,No,No,,,Look at the top 4 cards from the deck. Take 2 of them into hand and discard the other 2,,
Business Empire,P06,,Prelude,Prelude,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,0,0,0,1,0,0,0,0,,6,0,0,0,0,0,,-6,0,0,0,0,0,No,,0,0,0,0,0,0,,No,0,No,No,No,,,Increase your MC production 6 steps. Remove 6 MC.,,
Business Network,110,4,Active,Corporate,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,0,0,0,1,0,0,0,0,,-1,0,0,0,0,0,,0,0,0,0,0,0,No,,0,0,0,0,0,0,,No,1,No,No,No,,Action: Look at the top card and either buy it or discard it,Decrease your MC production 1 step.,,
Callisto Penal Mines,82,24,Automated,Corporate,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,1,0,0,0,0,0,1,0,0,0,,3,0,0,0,0,0,,0,0,0,0,0,0,No,,0,0,0,0,0,2,,No,0,No,No,No,,,Increase your MC production 3 steps.,,
Capital,8,26,Automated,Basic,-30,0,4,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,1,0,0,0,0,1,0,0,0,0,0,,5,0,0,0,-2,0,,0,0,0,0,0,0,No,,0,0,0,0,0,Ref,,Ref,0,No,No,No,,,Requires 4 ocean tiles. Place [the capital city] tile. Decrease your energy production 2 steps and increase your MC production 5 steps. 1 ADDITIONAL VP FOR EACH OCEAN TILE ADJACENT TO THIS CITY TILE.,,
Carbonate Processing,43,6,Automated,Basic,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,-1,3,,0,0,0,0,0,0,No,,0,0,0,0,0,0,,No,0,No,No,No,,,Decrease your energy production 1 step and increase your heat production 3 steps.,,
Caretaker Contract,154,3,Active,Corporate,0,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,Ref,No,,0,0,0,0,Ref,0,,No,1,No,No,No,,Action: Spend 8 heat to increase your terraforming rating 1 step.,Requires 0°C or warmer.,,
Cartel,137,8,Automated,Corporate,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,0,0,0,1,0,0,0,0,,Ref,0,0,0,0,0,,0,0,0,0,0,0,No,,0,0,0,0,0,0,,No,0,No,No,No,,,"Increase your MC production 1 step for each Earth tag you have, including this.",,
Celestic,,,Corporation,Venus,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,,42,0,0,0,0,0,Ref,,0,0,0,0,0,Ref,,No,1,No,No,Floaters,,Action: Add a floater to ANY card.,"You start with 42 MC. As your first action, reveal cards from the deck until you have revealed 2 cards with a floater icon on it. Take those 2 cards into hand, and discard the rest. 1 VP per 3 floaters on this card.",,
CEO's Favourite Project,149,1,Event,Corporate,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,,0,0,0,0,0,0,Ref,,0,0,0,0,0,0,,No,0,No,No,No,,,Add 1 resource to a card with at least 1 resource on it.,,
Cheung Shing Mars,,,Corporation,Prelude,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,1,0,0,0,0,0,0,0,0,0,0,,3,0,0,0,0,0,,44,0,0,0,0,0,No,,0,0,0,0,0,0,,No,Eff,No,No,No,,"Effect: When you play a building tag, you pay 2 MC less for it.",You start with 44 MC and 3 MC production.,,
Cloud Seeding,4,11,Automated,Basic,-30,0,3,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0,2,0,Ref,,0,0,0,0,0,0,No,,0,0,0,0,0,0,,No,0,No,No,No,,,Requires 3 ocean tiles. Decrease your MC production 1 step and any heat production 1 step.  Increase your plant production 2 steps.,,
Colonizer Training Camp,1,8,Automated,Basic,-30,0,0,0,8,5,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,1,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,No,,0,0,0,0,0,2,,No,0,No,No,No,,,Oxygen must be 5% or less.,,
Comet,10,21,Event,Basic,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,1,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,,0,0,0,Ref,0,0,No,,1,0,1,0,0,0,,Ref,0,No,Ref,No,,,Raise temperature 1 step and place an ocean tile. Remove up to 3 plants from any player.,,
Comet for Venus,218,11,Event,Venus,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,1,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,,Ref,0,0,0,0,0,No,,0,0,0,1,0,0,,No,0,No,Ref,No,,,Raise Venus 1 step. Remove up to 4 MC from a player WITH A VENUS TAG IN PLAY.,,
Commercial District,85,16,Automated,Corporate,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,1,0,0,0,0,0,0,0,0,0,0,,4,0,0,0,-1,0,,0,0,0,0,0,0,No,,0,0,0,0,0,Ref,,Ref,0,Ref,No,No,,,Decrease your energy production 1 step and increase your MC production 4 steps. Place [the commercial district] tile. 1 VP PER ADJACENT CITY TILE.,,
Community Services,C04,13,Automated,Colonies,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,0,0,0,0,0,0,0,0,,Ref,0,0,0,0,0,,0,0,0,0,0,0,No,,0,0,0,0,0,1,,No,0,No,No,No,,,"Increase your MC production 1 step per CARD WITH NO TAGS, including this.",,
Conscription,C05,5,Event,Colonies,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,2,0,0,0,No,,0,0,0,0,0,0,0,1,0,0,0,1,,0,0,0,0,0,0,,0,0,0,0,0,0,No,,0,0,0,0,0,-1,,No,0,No,No,No,,,Requires 2 Earth tags. The next card you play this generation costs 16 MC less.,,
Convoy From Europa,161,15,Event,Basic,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,1,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,,0,0,0,0,0,0,Ref,,0,0,1,0,0,0,,Ref,0,No,No,No,,,Place 1 ocean tile and draw 1 card.,,
Corona Extractor,C06,10,Automated,Colonies,-30,0,0,0,8,14,9,30,,4,0,0,0,0,0,0,0,0,0,0,No,,0,0,1,0,0,0,0,0,0,1,0,0,,0,0,0,0,4,0,,0,0,0,0,0,0,No,,0,0,0,0,0,0,,No,0,No,No,No,,,Requires 4 science tags. Increase your energy production 4 steps.,,
Corporate Stronghold,182,11,Automated,Corporate,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,1,0,0,0,0,1,0,0,0,0,0,,3,0,0,0,-1,0,,0,0,0,0,0,0,No,,0,0,0,0,0,-2,,Ref,0,No,No,No,,,Decrease your energy production 1 step and increase your MC production 3 steps. Place a city tile.,,
Corroder Suits,219,8,Automated,Venus,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,0,0,0,0,0,0,1,0,,2,0,0,0,0,0,,0,0,0,0,0,0,Ref,,0,0,0,0,0,0,,No,0,No,No,No,,,Increase your MC production 2 steps. Add 1 resource to ANY VENUS CARD.,,
CrediCor,,,Corporation,Basic,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,57,0,0,0,0,0,No,,0,0,0,0,0,0,,No,Eff,No,No,No,,"Effect: After you pay for a card or standard project with a basic cost of 20 MC or more, you gain 4 MC.",You start with 57 MC.,,
Cryo-Sleep,C07,10,Active,Colonies,-30,0,0,0,8,14,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,No,,0,0,0,0,0,1,,No,Eff,No,No,No,,"Effect: When you trade, you pay 1 less resource for it.",,,
Cupola City,29,16,Automated,Basic,-30,0,0,0,8,9,9,30,,0,0,0,0,0,0,0,0,0,0,0,No,,0,1,0,0,0,0,1,0,0,0,0,0,,3,0,0,0,-1,0,,0,0,0,0,0,0,No,,0,0,0,0,0,0,,Ref,0,No,No,No,,,Oxygen must be 9% or less. Place a city tile. Decrease your energy production 1 step and increase your MC production 3 steps.,,
